id;kode_provinsi;nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;bulan;kategori_bencana_lainnya;jumlah_bencana;satuan;tahun
500;32;JAWA BARAT;3273;KOTA BANDUNG;MARET;BANJIR;0;BENCANA;2022
508;32;JAWA BARAT;3273;KOTA BANDUNG;APRIL;BANJIR;1;BENCANA;2022
516;32;JAWA BARAT;3273;KOTA BANDUNG;MEI;BANJIR;1;BENCANA;2022
524;32;JAWA BARAT;3273;KOTA BANDUNG;JUNI;BANJIR;0;BENCANA;2022
532;32;JAWA BARAT;3273;KOTA BANDUNG;JULI;BANJIR;0;BENCANA;2022
540;32;JAWA BARAT;3273;KOTA BANDUNG;AGUSTUS;BANJIR;0;BENCANA;2022
548;32;JAWA BARAT;3273;KOTA BANDUNG;SEPTEMBER;BANJIR;0;BENCANA;2022
556;32;JAWA BARAT;3273;KOTA BANDUNG;OKTOBER;BANJIR;1;BENCANA;2022
564;32;JAWA BARAT;3273;KOTA BANDUNG;NOVEMBER;BANJIR;0;BENCANA;2022
572;32;JAWA BARAT;3273;KOTA BANDUNG;DESEMBER;BANJIR;1;BENCANA;2022
